dataset,split,image_id,label,label_name,image_path,total_lesion_union_area_pixels,total_lesion_union_area_ratio,total_lesion_sum_area_pixels,total_lesion_sum_area_ratio,microaneurysms_area_pixels,microaneurysms_area_ratio,microaneurysms_presence,microaneurysms_prob_mean,microaneurysms_prob_max,microaneurysms_component_count,microaneurysms_largest_component_area_pixels,microaneurysms_largest_component_area_ratio,haemorrhages_area_pixels,haemorrhages_area_ratio,haemorrhages_presence,haemorrhages_prob_mean,haemorrhages_prob_max,haemorrhages_component_count,haemorrhages_largest_component_area_pixels,haemorrhages_largest_component_area_ratio,hard_exudates_area_pixels,hard_exudates_area_ratio,hard_exudates_presence,hard_exudates_prob_mean,hard_exudates_prob_max,hard_exudates_component_count,hard_exudates_largest_component_area_pixels,hard_exudates_largest_component_area_ratio,soft_exudates_area_pixels,soft_exudates_area_ratio,soft_exudates_presence,soft_exudates_prob_mean,soft_exudates_prob_max,soft_exudates_component_count,soft_exudates_largest_component_area_pixels,soft_exudates_largest_component_area_ratio,lesion_presence_count
IDRiD,train,IDRiD_011,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_011.jpg,2976,0.0113525390625,3720,0.014190673828125,766,0.00292205810546875,1,0.0156707763671875,0.401123046875,48,116,0.0004425048828125,1475,0.005626678466796875,1,0.0082550048828125,0.99658203125,20,329,0.001255035400390625,175,0.000667572021484375,1,0.007488250732421875,0.9931640625,13,31,0.000118255615234375,1304,0.004974365234375,1,0.0286712646484375,0.98779296875,7,302,0.00115203857421875,4
IDRiD,train,IDRiD_012,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_012.jpg,2229,0.008502960205078125,2787,0.010631561279296875,592,0.00225830078125,1,0.01543426513671875,0.40283203125,49,48,0.00018310546875,1918,0.00731658935546875,1,0.00991058349609375,0.998046875,29,220,0.0008392333984375,104,0.000396728515625,1,0.006435394287109375,0.9970703125,7,30,0.00011444091796875,173,0.000659942626953125,1,0.0229339599609375,0.97607421875,1,173,0.000659942626953125,4
IDRiD,train,IDRiD_013,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_013.jpg,2242,0.00855255126953125,2552,0.009735107421875,330,0.00125885009765625,1,0.0150299072265625,0.387939453125,25,41,0.000156402587890625,2163,0.008251190185546875,1,0.0109100341796875,0.99853515625,14,1176,0.004486083984375,0,0.0,0,0.005748748779296875,0.53759765625,0,0,0.0,59,0.000225067138671875,1,0.0223541259765625,0.93603515625,1,59,0.000225067138671875,3
IDRiD,train,IDRiD_014,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_014.jpg,8645,0.032978057861328125,9574,0.03652191162109375,969,0.003696441650390625,1,0.0171051025390625,0.379638671875,110,41,0.000156402587890625,7254,0.02767181396484375,1,0.029205322265625,0.99658203125,41,681,0.002597808837890625,1351,0.005153656005859375,1,0.01177215576171875,0.998046875,37,242,0.00092315673828125,0,0.0,0,0.0223541259765625,0.4580078125,0,0,0.0,3
IDRiD,train,IDRiD_015,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_015.jpg,6747,0.025737762451171875,7648,0.0291748046875,946,0.00360870361328125,1,0.01708984375,0.43896484375,105,51,0.000194549560546875,6457,0.024631500244140625,1,0.026336669921875,0.9970703125,35,1022,0.00389862060546875,245,0.000934600830078125,1,0.00728607177734375,0.99658203125,14,63,0.000240325927734375,0,0.0,0,0.0224609375,0.615234375,0,0,0.0,3
IDRiD,train,IDRiD_016,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_016.jpg,7815,0.029811859130859375,7872,0.030029296875,66,0.00025177001953125,1,0.01406097412109375,0.357666015625,6,30,0.00011444091796875,96,0.0003662109375,1,0.0034275054931640625,0.9921875,3,59,0.000225067138671875,7704,0.029388427734375,1,0.03839111328125,0.9990234375,173,382,0.00145721435546875,6,2.288818359375e-05,1,0.0245208740234375,0.84130859375,1,6,2.288818359375e-05,4
IDRiD,train,IDRiD_017,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_017.jpg,10914,0.04163360595703125,10973,0.041858673095703125,68,0.0002593994140625,1,0.0141448974609375,0.311767578125,7,17,6.4849853515625e-05,164,0.0006256103515625,1,0.0036983489990234375,0.994140625,6,74,0.00028228759765625,10736,0.04095458984375,1,0.049285888671875,0.99853515625,118,4460,0.0170135498046875,5,1.9073486328125e-05,1,0.024749755859375,0.80224609375,3,3,1.1444091796875e-05,4
IDRiD,train,IDRiD_018,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_018.jpg,575,0.002193450927734375,609,0.002323150634765625,42,0.00016021728515625,1,0.014373779296875,0.280029296875,4,21,8.0108642578125e-05,61,0.000232696533203125,1,0.003284454345703125,0.97021484375,3,40,0.000152587890625,506,0.00193023681640625,1,0.00794219970703125,0.9970703125,18,143,0.000545501708984375,0,0.0,0,0.02178955078125,0.4541015625,0,0,0.0,3
IDRiD,train,IDRiD_019,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_019.jpg,3123,0.011913299560546875,3222,0.01229095458984375,114,0.00043487548828125,1,0.01441192626953125,0.30126953125,9,35,0.000133514404296875,180,0.0006866455078125,1,0.00368499755859375,0.98681640625,5,61,0.000232696533203125,2830,0.01079559326171875,1,0.0182342529296875,0.998046875,87,267,0.001018524169921875,98,0.00037384033203125,1,0.0235595703125,0.96923828125,1,98,0.00037384033203125,4
IDRiD,train,IDRiD_020,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_020.jpg,1190,0.00453948974609375,1348,0.0051422119140625,180,0.0006866455078125,1,0.01479339599609375,0.382568359375,17,26,9.918212890625e-05,480,0.0018310546875,1,0.0047454833984375,0.99755859375,12,152,0.000579833984375,209,0.000797271728515625,1,0.006988525390625,0.998046875,15,36,0.0001373291015625,479,0.001827239990234375,1,0.02435302734375,0.97705078125,4,318,0.00121307373046875,4
IDRiD,train,IDRiD_021,1,Mild,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_021.jpg,399,0.001522064208984375,474,0.00180816650390625,79,0.000301361083984375,1,0.0143890380859375,0.396728515625,9,18,6.866455078125e-05,170,0.00064849853515625,1,0.003559112548828125,0.9970703125,4,75,0.000286102294921875,14,5.340576171875e-05,1,0.005889892578125,0.86083984375,3,5,1.9073486328125e-05,211,0.000804901123046875,1,0.0231781005859375,0.9775390625,3,163,0.000621795654296875,4
IDRiD,train,IDRiD_022,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_022.jpg,36051,0.13752365112304688,39814,0.15187835693359375,3754,0.01432037353515625,1,0.0259857177734375,0.42236328125,337,138,0.00052642822265625,28829,0.10997390747070312,1,0.10760498046875,0.998046875,107,4904,0.018707275390625,5412,0.0206451416015625,1,0.0305023193359375,0.998046875,87,1136,0.00433349609375,1819,0.006938934326171875,1,0.036407470703125,0.98291015625,25,769,0.002933502197265625,4
IDRiD,train,IDRiD_023,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_023.jpg,909,0.003467559814453125,1041,0.003971099853515625,146,0.00055694580078125,1,0.01438140869140625,0.3701171875,16,22,8.392333984375e-05,473,0.001804351806640625,1,0.0047454833984375,0.99658203125,11,122,0.00046539306640625,422,0.00160980224609375,1,0.007801055908203125,0.99853515625,19,63,0.000240325927734375,0,0.0,0,0.0217742919921875,0.462158203125,0,0,0.0,3
IDRiD,train,IDRiD_024,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_024.jpg,6581,0.025104522705078125,6650,0.02536773681640625,78,0.00029754638671875,1,0.01424407958984375,0.3125,17,15,5.7220458984375e-05,667,0.002544403076171875,1,0.005474090576171875,0.99609375,4,387,0.001476287841796875,5746,0.02191925048828125,1,0.0298919677734375,0.99951171875,108,645,0.002460479736328125,159,0.000606536865234375,1,0.0243377685546875,0.97216796875,2,158,0.00060272216796875,4
IDRiD,train,IDRiD_025,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_025.jpg,1817,0.006931304931640625,2088,0.007965087890625,284,0.0010833740234375,1,0.01503753662109375,0.300537109375,25,58,0.00022125244140625,1469,0.005603790283203125,1,0.0083770751953125,0.99658203125,12,465,0.001773834228515625,83,0.000316619873046875,1,0.006160736083984375,0.9931640625,7,42,0.00016021728515625,252,0.0009613037109375,1,0.0231170654296875,0.978515625,3,187,0.000713348388671875,4
IDRiD,train,IDRiD_026,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_026.jpg,2809,0.010715484619140625,3180,0.0121307373046875,410,0.00156402587890625,1,0.01544189453125,0.3515625,40,67,0.000255584716796875,1520,0.00579833984375,1,0.008331298828125,0.99560546875,16,695,0.002651214599609375,83,0.000316619873046875,1,0.006397247314453125,0.9970703125,3,51,0.000194549560546875,1167,0.004451751708984375,1,0.02764892578125,0.9873046875,6,420,0.0016021728515625,4
IDRiD,train,IDRiD_027,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_027.jpg,8521,0.032505035400390625,9654,0.03682708740234375,1138,0.00434112548828125,1,0.0171356201171875,0.4111328125,112,71,0.000270843505859375,6948,0.0265045166015625,1,0.0283355712890625,0.998046875,50,999,0.003810882568359375,688,0.00262451171875,1,0.0091400146484375,0.99853515625,21,246,0.00093841552734375,880,0.00335693359375,1,0.026275634765625,0.98388671875,7,431,0.001644134521484375,4
IDRiD,train,IDRiD_028,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_028.jpg,8085,0.030841827392578125,9592,0.036590576171875,1405,0.005359649658203125,1,0.0174713134765625,0.468017578125,121,103,0.000392913818359375,6441,0.024570465087890625,1,0.0264739990234375,0.99755859375,52,994,0.00379180908203125,934,0.00356292724609375,1,0.01056671142578125,0.99755859375,32,113,0.000431060791015625,812,0.0030975341796875,1,0.02703857421875,0.97998046875,7,519,0.001979827880859375,4
IDRiD,train,IDRiD_029,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_029.jpg,4074,0.01554107666015625,4241,0.016178131103515625,175,0.000667572021484375,1,0.01416778564453125,0.4013671875,12,27,0.000102996826171875,623,0.002376556396484375,1,0.005237579345703125,0.99658203125,8,175,0.000667572021484375,3443,0.013134002685546875,1,0.02008056640625,0.9990234375,64,739,0.002819061279296875,0,0.0,0,0.022705078125,0.431884765625,0,0,0.0,3
IDRiD,train,IDRiD_030,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_030.jpg,11130,0.04245758056640625,11298,0.04309844970703125,137,0.000522613525390625,1,0.016571044921875,0.393310546875,20,41,0.000156402587890625,6645,0.025348663330078125,1,0.0259552001953125,0.99267578125,14,4807,0.018337249755859375,4033,0.015384674072265625,1,0.0229644775390625,0.9990234375,68,774,0.00295257568359375,483,0.001842498779296875,1,0.0279998779296875,0.978515625,8,241,0.000919342041015625,4
IDRiD,train,IDRiD_031,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_031.jpg,878,0.00334930419921875,1031,0.003932952880859375,163,0.000621795654296875,1,0.014739990234375,0.317626953125,19,30,0.00011444091796875,565,0.002155303955078125,1,0.005054473876953125,0.9970703125,13,138,0.00052642822265625,297,0.001132965087890625,1,0.007175445556640625,0.99365234375,17,56,0.000213623046875,6,2.288818359375e-05,1,0.02239990234375,0.8125,1,6,2.288818359375e-05,4
IDRiD,train,IDRiD_032,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_032.jpg,3126,0.01192474365234375,3668,0.0139923095703125,566,0.00215911865234375,1,0.01560211181640625,0.416015625,54,29,0.000110626220703125,1984,0.007568359375,1,0.01010894775390625,0.99755859375,26,279,0.001064300537109375,245,0.000934600830078125,1,0.007228851318359375,0.99560546875,5,201,0.000766754150390625,873,0.003330230712890625,1,0.0268402099609375,0.98193359375,6,437,0.001667022705078125,4
IDRiD,train,IDRiD_033,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_033.jpg,6588,0.0251312255859375,7361,0.028079986572265625,430,0.00164031982421875,1,0.0157012939453125,0.398681640625,57,29,0.000110626220703125,1379,0.005260467529296875,1,0.00801849365234375,0.9970703125,17,431,0.001644134521484375,4349,0.016590118408203125,1,0.0242919921875,0.998046875,51,904,0.003448486328125,1203,0.004589080810546875,1,0.03155517578125,0.9775390625,13,342,0.00130462646484375,4
IDRiD,train,IDRiD_034,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_034.jpg,4503,0.017177581787109375,4764,0.0181732177734375,275,0.001049041748046875,1,0.01485443115234375,0.404541015625,29,29,0.000110626220703125,1387,0.005290985107421875,1,0.00801849365234375,0.99658203125,16,296,0.001129150390625,3092,0.0117950439453125,1,0.019378662109375,0.9990234375,83,323,0.001232147216796875,10,3.814697265625e-05,1,0.02386474609375,0.8427734375,2,5,1.9073486328125e-05,4
IDRiD,train,IDRiD_035,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_035.jpg,9449,0.036045074462890625,9784,0.037322998046875,298,0.00113677978515625,1,0.01485443115234375,0.351806640625,31,75,0.000286102294921875,861,0.003284454345703125,1,0.00618743896484375,0.994140625,12,361,0.001377105712890625,7902,0.03014373779296875,1,0.03936767578125,0.9990234375,126,938,0.00357818603515625,723,0.002758026123046875,1,0.02880859375,0.9794921875,11,344,0.001312255859375,4
IDRiD,train,IDRiD_036,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_036.jpg,1907,0.007274627685546875,2070,0.00789642333984375,173,0.000659942626953125,1,0.0146026611328125,0.423828125,16,25,9.5367431640625e-05,691,0.002635955810546875,1,0.005443572998046875,0.99609375,9,283,0.001079559326171875,1160,0.004425048828125,1,0.01100921630859375,0.99560546875,29,149,0.000568389892578125,46,0.00017547607421875,1,0.022857666015625,0.90185546875,1,46,0.00017547607421875,4
IDRiD,train,IDRiD_037,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_037.jpg,145,0.000553131103515625,192,0.000732421875,54,0.00020599365234375,1,0.0143585205078125,0.478515625,4,31,0.000118255615234375,80,0.00030517578125,1,0.0033397674560546875,0.9931640625,3,53,0.000202178955078125,58,0.00022125244140625,1,0.006015777587890625,0.99462890625,4,30,0.00011444091796875,0,0.0,0,0.0216522216796875,0.417236328125,0,0,0.0,3
IDRiD,train,IDRiD_038,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_038.jpg,549,0.002094268798828125,636,0.0024261474609375,98,0.00037384033203125,1,0.0145111083984375,0.442138671875,8,23,8.7738037109375e-05,214,0.00081634521484375,1,0.003772735595703125,0.99462890625,6,71,0.000270843505859375,73,0.000278472900390625,1,0.006099700927734375,0.9931640625,3,36,0.0001373291015625,251,0.000957489013671875,1,0.0231781005859375,0.97509765625,1,251,0.000957489013671875,4
IDRiD,train,IDRiD_039,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_039.jpg,776,0.002960205078125,980,0.0037384033203125,225,0.000858306884765625,1,0.01457977294921875,0.390869140625,20,26,9.918212890625e-05,535,0.002040863037109375,1,0.00499725341796875,0.99609375,15,111,0.000423431396484375,219,0.000835418701171875,1,0.00685882568359375,0.9990234375,10,54,0.00020599365234375,1,3.814697265625e-06,1,0.0221099853515625,0.77099609375,1,1,3.814697265625e-06,4
IDRiD,train,IDRiD_040,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_040.jpg,611,0.002330780029296875,758,0.00289154052734375,156,0.0005950927734375,1,0.01442718505859375,0.4013671875,13,36,0.0001373291015625,509,0.001941680908203125,1,0.0048065185546875,0.9970703125,6,266,0.00101470947265625,77,0.000293731689453125,1,0.00612640380859375,0.99755859375,6,29,0.000110626220703125,16,6.103515625e-05,1,0.022216796875,0.94970703125,1,16,6.103515625e-05,4
IDRiD,train,IDRiD_041,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_041.jpg,2567,0.009792327880859375,2747,0.010478973388671875,189,0.000720977783203125,1,0.014495849609375,0.39501953125,11,38,0.00014495849609375,816,0.00311279296875,1,0.0059356689453125,0.99609375,8,292,0.0011138916015625,1693,0.006458282470703125,1,0.0125885009765625,0.9990234375,13,1053,0.004016876220703125,49,0.000186920166015625,1,0.022491455078125,0.9169921875,1,49,0.000186920166015625,4
IDRiD,train,IDRiD_042,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_042.jpg,5781,0.022052764892578125,5905,0.022525787353515625,121,0.000461578369140625,1,0.01428985595703125,0.349365234375,13,24,9.1552734375e-05,286,0.00109100341796875,1,0.00408172607421875,0.99560546875,7,103,0.000392913818359375,5375,0.020503997802734375,1,0.0278167724609375,0.9990234375,58,2965,0.011310577392578125,123,0.000469207763671875,1,0.023345947265625,0.96533203125,1,123,0.000469207763671875,4
IDRiD,train,IDRiD_043,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_043.jpg,439,0.001674652099609375,536,0.002044677734375,102,0.00038909912109375,1,0.01442718505859375,0.359130859375,5,55,0.000209808349609375,81,0.000308990478515625,1,0.00328826904296875,0.99365234375,3,33,0.000125885009765625,1,3.814697265625e-06,1,0.00583648681640625,0.69970703125,1,1,3.814697265625e-06,352,0.0013427734375,1,0.0235137939453125,0.978515625,2,213,0.000812530517578125,4
IDRiD,train,IDRiD_044,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_044.jpg,3878,0.01479339599609375,4152,0.015838623046875,302,0.00115203857421875,1,0.0152587890625,0.380615234375,35,42,0.00016021728515625,1273,0.004856109619140625,1,0.00766754150390625,0.99755859375,17,282,0.00107574462890625,1358,0.00518035888671875,1,0.0123138427734375,0.99853515625,48,207,0.000789642333984375,1219,0.004650115966796875,1,0.0278167724609375,0.9765625,4,915,0.003490447998046875,4
IDRiD,train,IDRiD_045,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_045.jpg,620,0.0023651123046875,719,0.002742767333984375,105,0.000400543212890625,1,0.01439666748046875,0.40966796875,8,26,9.918212890625e-05,603,0.002300262451171875,1,0.005130767822265625,0.9951171875,5,454,0.00173187255859375,11,4.1961669921875e-05,1,0.005756378173828125,0.9384765625,2,6,2.288818359375e-05,0,0.0,0,0.0218505859375,0.41943359375,0,0,0.0,3
IDRiD,train,IDRiD_046,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_046.jpg,864,0.0032958984375,1005,0.003833770751953125,154,0.00058746337890625,1,0.01461029052734375,0.410400390625,14,25,9.5367431640625e-05,534,0.00203704833984375,1,0.00493621826171875,0.99560546875,7,182,0.00069427490234375,21,8.0108642578125e-05,1,0.00588226318359375,0.92529296875,2,11,4.1961669921875e-05,296,0.001129150390625,1,0.023040771484375,0.98095703125,1,296,0.001129150390625,4
